municipio,local,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
110001,ALTA FLORESTA D'OESTE,-,31,98,490,15,2,232,7,2,374,397,256,305,2209
110002,ARIQUEMES,4,62,21,62,61,8,28,155,49,1116,362,85,188,2201
110003,CABIXI,-,8,124,52,5,4,92,10,1,26,64,13,11,410
110004,CACOAL,2,36,54,248,28,33,35,113,214,2195,586,179,71,3794
110005,CEREJEIRAS,-,11,41,350,269,10,14,154,5,26,137,50,25,1092
110006,COLORADO DO OESTE,2,28,11,35,15,16,11,62,8,5,43,61,4,301
110007,CORUMBIARA,-,11,18,12,5,-,6,37,2,-,68,28,81,268
110008,COSTA MARQUES,1,116,10,37,-,-,2,28,29,33,52,123,7,438
110009,ESPIGAO D'OESTE,-,17,281,512,118,41,14,125,24,490,179,249,164,2214
110010,GUAJARA-MIRIM,-,23,14,283,98,48,8,29,73,77,126,18,3,800
110011,JARU,-,48,20,116,141,1,10,120,37,1344,670,112,68,2687
110012,JI-PARANA,6,220,34,926,81,28,15,9,79,766,644,154,160,3122
110013,MACHADINHO D'OESTE,1,80,16,462,123,6,2,40,16,252,66,82,8,1154
110014,NOVA BRASILANDIA D'OESTE,-,23,4,347,71,4,22,239,39,686,95,138,18,1686
110015,OURO PRETO DO OESTE,1,46,48,106,56,7,14,11,7,41,44,17,12,410
110018,PIMENTA BUENO,-,35,73,526,40,5,11,38,49,313,830,80,17,2017
110020,PORTO VELHO,1,306,233,1009,357,114,181,309,212,2021,1160,613,164,6680
110025,PRESIDENTE MEDICI,-,24,14,102,42,13,24,19,41,225,141,146,61,852
110026,RIO CRESPO,-,1,5,45,2,3,-,16,3,24,36,61,3,199
110028,ROLIM DE MOURA,1,77,36,360,89,11,5,157,16,259,621,878,207,2717
110029,SANTA LUZIA D'OESTE,-,6,4,54,2,2,-,30,10,98,86,34,19,345
110030,VILHENA,-,70,349,331,23,15,17,1151,101,1322,1699,327,1392,6797
110032,SAO MIGUEL DO GUAPORE,-,-,12,44,4,1,1,90,38,76,9,56,7,338
110033,NOVA MAMORE,-,3,11,159,3,2,29,222,9,105,196,64,23,826
110034,ALVORADA D'OESTE,-,24,35,82,8,-,-,2,1,176,184,19,4,535
110037,ALTO ALEGRE DOS PARECIS,-,14,13,7,12,2,38,84,4,12,142,50,27,405
110040,ALTO PARAISO,-,20,1,12,25,5,5,12,27,94,36,13,20,270
110045,BURITIS,1,136,169,264,143,108,103,203,242,367,119,220,33,2108
110050,NOVO HORIZONTE DO OESTE,-,19,7,65,4,-,1,1,14,-,33,83,6,233
110060,CACAULANDIA,-,8,14,13,50,-,-,22,6,56,252,67,10,498
110070,CAMPO NOVO DE RONDONIA,-,218,28,17,20,4,12,9,76,46,16,17,5,468
110080,CANDEIAS DO JAMARI,-,10,34,79,14,6,7,-,7,67,13,179,19,435
110090,CASTANHEIRAS,-,-,4,28,3,-,3,-,35,40,11,40,24,188
110092,CHUPINGUAIA,-,19,48,31,-,-,-,7,92,71,271,37,38,614
110094,CUJUBIM,-,1,2,64,56,1,7,-,7,66,129,77,6,416
110100,GOVERNADOR JORGE TEIXEIRA,-,2,3,14,6,1,-,9,2,143,9,10,3,202
110110,ITAPUA DO OESTE,-,29,6,39,9,1,4,119,58,42,180,1,11,499
110120,MINISTRO ANDREAZZA,-,2,79,28,7,-,1,5,35,56,30,25,-,268
110130,MIRANTE DA SERRA,-,9,-,12,7,-,-,1,-,123,89,6,15,262
110140,MONTE NEGRO,-,5,16,30,32,4,13,18,291,49,184,45,-,687
110143,NOVA UNIAO,-,7,9,12,9,1,1,2,2,20,9,7,15,94
110145,PARECIS,-,7,129,64,16,3,-,50,75,4,74,55,36,513
110146,PIMENTEIRAS DO OESTE,-,2,-,41,5,5,4,18,1,-,38,55,14,183
110147,PRIMAVERA DE RONDONIA,-,5,-,7,1,2,2,91,34,11,97,44,12,306
110148,SAO FELIPE D'OESTE,-,50,13,50,18,7,2,23,4,106,68,115,4,460
