cod6,municipio,year,prob
110001,110001,2013,0.53853554
110002,110002,2013,0.7516546
110003,110003,2013,0.4890109
110004,110004,2013,0.803781
110005,110005,2013,0.68383986
110006,110006,2013,0.72061765
110007,110007,2013,0.34174013
110008,110008,2013,0.427484
110009,110009,2013,0.6281178
110010,110010,2013,0.61932975
110011,110011,2013,0.6779072
110012,110012,2013,0.8193688
110013,110013,2013,0.50430226
110014,110014,2013,0.48269066
110015,110015,2013,0.7086091
110018,110018,2013,0.8343736
110020,110020,2013,0.68927205
110025,110025,2013,0.6161854
110026,110026,2013,0.45159763
110028,110028,2013,0.7348318
110029,110029,2013,0.59565055
110030,110030,2013,0.8031473
110032,110032,2013,0.5755304
110033,110033,2013,0.4483006
110034,110034,2013,0.50598776
110037,110037,2013,0.50696445
110040,110040,2013,0.5217825
110045,110045,2013,0.55203605
110050,110050,2013,0.45410866
110060,110060,2013,0.5825778
110070,110070,2013,0.43733406
110080,110080,2013,0.5257319
110090,110090,2013,0.41246393
110092,110092,2013,0.51227784
110094,110094,2013,0.4432634
110100,110100,2013,0.430239
110110,110110,2013,0.54612625
110120,110120,2013,0.5101284
110130,110130,2013,0.61215997
110140,110140,2013,0.45886096
110143,110143,2013,0.42939693
110145,110145,2013,0.48615876
110146,110146,2013,0.49499217
110147,110147,2013,0.57060236
110148,110148,2013,0.4410495
110149,110149,2013,0.4899131
110150,110150,2013,0.55170083
110155,110155,2013,0.5260229
110160,110160,2013,0.43930194
110170,110170,2013,0.50616
110175,110175,2013,0.48934492
110180,110180,2013,0.4223541
120001,120001,2013,0.47554225
120005,120005,2013,0.40176505
120010,120010,2013,0.5230826
120013,120013,2013,0.46644342
120017,120017,2013,0.42287773
120020,120020,2013,0.4653032
120025,120025,2013,0.5164556
120030,120030,2013,0.3689206
120032,120032,2013,0.2783323
120033,120033,2013,0.38574818
120034,120034,2013,0.3662652
120035,120035,2013,0.28555784
120038,120038,2013,0.4878814
120039,120039,2013,0.23908971
120040,120040,2013,0.7747798
120042,120042,2013,0.35325608
120043,120043,2013,0.2549593
120045,120045,2013,0.5047993
120050,120050,2013,0.43528834
120060,120060,2013,0.37570933
120070,120070,2013,0.4763884
120080,120080,2013,0.42584446
130002,130002,2013,0.3655396
130006,130006,2013,0.2940447
130008,130008,2013,0.33190435
130010,130010,2013,0.431063
130014,130014,2013,0.39468876
130020,130020,2013,0.28882784
130030,130030,2013,0.35795635
130040,130040,2013,0.44712967
130050,130050,2013,0.3477057
130060,130060,2013,0.44287792
130063,130063,2013,0.4214001
130068,130068,2013,0.30379742
130070,130070,2013,0.4182577
130080,130080,2013,0.43500715
130083,130083,2013,0.34989372
130090,130090,2013,0.34860745
130100,130100,2013,0.49788362
130110,130110,2013,0.37712118
130115,130115,2013,0.20763656
130120,130120,2013,0.5659884
130130,130130,2013,0.46623376
130140,130140,2013,0.3800121
130150,130150,2013,0.42465284
130160,130160,2013,0.30746344
130165,130165,2013,0.35187605
130170,130170,2013,0.5784215
130180,130180,2013,0.35135487
130185,130185,2013,0.5083299
130190,130190,2013,0.41466317
130200,130200,2013,0.37940195
130210,130210,2013,0.2896824
130220,130220,2013,0.35771662
130230,130230,2013,0.39712736
130240,130240,2013,0.39527857
130250,130250,2013,0.5567601
130255,130255,2013,0.312878
130260,130260,2013,0.8831998
130270,130270,2013,0.39050093
130280,130280,2013,0.35558802
130290,130290,2013,0.4233736
130300,130300,2013,0.3159767
130310,130310,2013,0.4311552
130320,130320,2013,0.5539136
130330,130330,2013,0.41915143
130340,130340,2013,0.4465494
130350,130350,2013,0.40128806
130353,130353,2013,0.5000422
130356,130356,2013,0.48811656
130360,130360,2013,0.3024901
130370,130370,2013,0.35982147
130380,130380,2013,0.31402004
130390,130390,2013,0.3627145
130395,130395,2013,0.38845107
130400,130400,2013,0.3098464
130406,130406,2013,0.47402966
130410,130410,2013,0.43084913
130420,130420,2013,0.4542856
130423,130423,2013,0.38019934
130426,130426,2013,0.3289863
130430,130430,2013,0.38477582
130440,130440,2013,0.38069123
140002,140002,2013,0.19349493
140005,140005,2013,0.23835057
140010,140010,2013,0.888616
140015,140015,2013,0.24632633
140017,140017,2013,0.27682012
140020,140020,2013,0.30937654
140023,140023,2013,0.33703762
140028,140028,2013,0.23188308
140030,140030,2013,0.31747437
140040,140040,2013,0.29137716
140045,140045,2013,0.29357922
140047,140047,2013,0.37774974
140050,140050,2013,0.31471118
140060,140060,2013,0.2948424
140070,140070,2013,0.2748071
150010,150010,2013,0.49777916
150013,150013,2013,0.4324472
150020,150020,2013,0.28087598
150030,150030,2013,0.34643918
150034,150034,2013,0.4282282
150040,150040,2013,0.3467022
150050,150050,2013,0.4570028
150060,150060,2013,0.6963799
150070,150070,2013,0.2950578
150080,150080,2013,0.6978632
150085,150085,2013,0.3612483
150090,150090,2013,0.24010538
150095,150095,2013,0.29343945
150100,150100,2013,0.27248845
150110,150110,2013,0.32127154
150120,150120,2013,0.263904
150125,150125,2013,0.3425353
150130,150130,2013,0.6093212
150140,150140,2013,0.7418591
150145,150145,2013,0.30493453
150150,150150,2013,0.5471822
150157,150157,2013,0.43300596
150160,150160,2013,0.27988902
150170,150170,2013,0.30875492
150172,150172,2013,0.42406192
150175,150175,2013,0.36253452
150178,150178,2013,0.44043237
150180,150180,2013,0.4017901
150190,150190,2013,0.278513
150195,150195,2013,0.23631924
150210,150210,2013,0.35726196
150215,150215,2013,0.83042216
150220,150220,2013,0.4328335
150230,150230,2013,0.26699072
150240,150240,2013,0.58628106
150250,150250,2013,0.26609594
150260,150260,2013,0.31400466
150270,150270,2013,0.5912754
150275,150275,2013,0.24364704
150276,150276,2013,0.46841756
150277,150277,2013,0.6449363
150280,150280,2013,0.3288938
150285,150285,2013,0.3735134
150290,150290,2013,0.27193668
150293,150293,2013,0.4288318
150295,150295,2013,0.49982807
150300,150300,2013,0.31759036
150304,150304,2013,0.495324
150307,150307,2013,0.2368477
150309,150309,2013,0.42695215
150310,150310,2013,0.30356866
150320,150320,2013,0.27966863
150330,150330,2013,0.41543
150340,150340,2013,0.24257697
150345,150345,2013,0.3386747
150350,150350,2013,0.1981368
150360,150360,2013,0.675277
150370,150370,2013,0.3974569
150375,150375,2013,0.5256345
150380,150380,2013,0.5041578
150390,150390,2013,0.4178922
150400,150400,2013,0.34214097
150405,150405,2013,0.36346447
150410,150410,2013,0.3173058
150420,150420,2013,0.66749257
150430,150430,2013,0.22916555
150440,150440,2013,0.34275395
150442,150442,2013,0.6069662
150445,150445,2013,0.38458288
150450,150450,2013,0.343502
150460,150460,2013,0.36898008
150470,150470,2013,0.40706304
150480,150480,2013,0.31760415
150490,150490,2013,0.444531
150495,150495,2013,0.27029306
150497,150497,2013,0.3671085
150500,150500,2013,0.29584217
150503,150503,2013,0.6561929
150506,150506,2013,0.4029256
150510,150510,2013,0.34495738
150520,150520,2013,0.34905258
150530,150530,2013,0.47325188
150540,150540,2013,0.31537628
150543,150543,2013,0.68302834
150548,150548,2013,0.28304175
150549,150549,2013,0.38595933
150550,150550,2013,0.59463716
150553,150553,2013,0.8213211
150555,150555,2013,0.4495398
