cod6,prob,ppt_out,altitude,ppt_ago,Expectativa de Vida,Necessidades Humanas Básicas,tmed_out,ppt_jun,ppt_set,tmed_set,Famílias em Situação de Rua,tmed_nov,Domicílios com Coleta de Resíduos Adequada,Índice de Progresso Social,População 2022,Abastecimento de Água via Rede de Distribuição,Áreas Verdes Urbanas,Densidade de Telefonia Móvel,Mortalidade Infantil até 5 Anos,Densidade de Internet Banda Larga Fixa,tmed_ago,Índice de Abastecimento de Água,Esgotamento Sanitário Adequado,Nutrição e Cuidados Médicos Básicos,ppt_abr,Acesso à Informação e Comunicação,Focos de Calor,Água e Saneamento,tmed,PIB per capita 2021,Código IBGE,Mortalidade entre 15 e 50 anos,Fundamentos do Bem-estar,ppt_dez,tmed_jul,Cobertura Vacinal (Poliomielite),Índice de Vulnerabilidade das Famílias do Cadastro Único (IVCAD),Domicílios com Iluminação Elétrica Adequada,Domicílios com Paredes Adequadas,Índice de Perdas de Água na Distribuição,ppt_fev,ppt_jan,Supressão da Vegetação Primária e Secundária,tmed_jun,Índice de Vulnerabilidade Climática dos Municípios (IVCM),Qualidade de Internet Móvel,tmed_mar,Cobertura de Internet Móvel (4G/5G),ppt_nov,tmed_fev,tmed_jan,clu
110001,0.53853554,242.21,246.07999999999998,43.559999999999995,70.75,64.6128553978861,27.02,44.32,165.31,25.759999999999998,4.88180415847903,27.09,54.056702353036194,53.6030805394055,22853.0,25.6435450204477,1.44762635844833,68.83,9.36477238276635,7.88,24.59,45.3125,4.03990335992887,74.1328497444539,174.87,55.8880468033652,74.4393784311901,30.838882980398004,25.42,32373.4574760425,1100015.0,2.46491543720763,55.3457112158593,267.46,22.84,93.2565691064341,0.305987168520103,94.4124740726784,88.02693565816182,60.86,279.47,370.24,33.7766990682345,22.81,51.82,94.07410000000002,26.27,66.75,306.55,26.37,26.240000000000002,1
110002,0.7516546,239.42000000000002,165.90000000000003,71.39,73.36,67.4379374292695,27.4,47.269999999999996,146.22,26.33,19.0064773167909,27.36,90.7268954988841,55.9174671532921,108573.0,47.3471989459221,2.35182243263191,89.76,15.7192888468707,25.720000000000002,25.35,72.2125,5.94435613359092,72.1563559737134,220.05,70.2733058158607,9.91397560748918,50.3214311327056,25.93,29778.971340020096,1100023.0,2.62576368126869,60.8385264343406,304.32,23.88,87.12624894217421,0.296985466794995,90.7378004087606,90.3949536530855,43.20625,313.67,367.67,60.7897380743969,23.85,49.41,94.3536,26.529999999999998,86.16,269.23,26.529999999999998,26.41,1
110003,0.48901087,232.37,224.18,44.519999999999996,70.39,59.1930192048426,27.25,44.45,174.47,26.009999999999998,0.0,27.31,66.7605453110039,52.1038447655131,5690.0,41.981157138555304,2.30244487832,64.19,32.6300085251492,0.27,24.69,39.87125,17.8740574974818,66.8745209495816,156.11,38.1526891981061,39.2450009344048,40.3665368903008,25.550000000000004,42206.047029877,1100031.0,2.82714054927302,50.0066313634038,282.37,22.83,94.8910690758517,0.279841463414634,80.44273416276029,92.5816888280363,42.20375,264.67,339.52000000000004,61.3785517338282,22.720000000000002,56.05,54.5392363636364,26.470000000000002,47.72,320.67,26.58,26.529999999999998,1
110004,0.803781,243.19,229.95,30.85,74.27,74.3507788488819,27.490000000000002,39.57,163.65000000000003,26.43,17.4463979619259,27.38,84.7007673340323,60.9468731590733,97637.0,81.32743942730112,5.0794050864203,89.77,11.720841893215802,26.77,25.32,79.4125,66.7326199467803,72.7879366330417,191.21,69.8406053626415,5.86969281940912,72.5910279609304,25.83,28808.4168491453,1100049.0,2.10411601978372,63.290144703537194,267.88,23.6,84.2513492119451,0.274542230741584,84.9809897445294,91.86614899040362,51.07125,298.25,386.38,42.4285380741616,23.550000000000004,51.33,94.3023694444445,26.36,82.93,300.64,26.43,26.35,1
110005,0.68383986,239.32,192.22,44.57,72.94,69.376478535014,27.29,45.87,174.51000000000002,26.009999999999998,1.25390014987887,27.39,89.2460885554679,59.2402976173062,16975.0,39.6709018031327,0.824206134229714,89.85,11.098999503099,3.82,24.71,60.8875,21.1217393371466,77.47613738203,161.82,64.2597986954145,5.03461296412838,46.6811479791658,25.64,44091.96878350521,1100056.0,2.4661508704061896,60.5615460639145,276.9,22.91,96.67631439192782,0.291743917274939,97.80996862389159,98.3221149174959,42.127500000000005,268.57,351.25,22.1146449754044,22.79,50.39,94.6138722222222,26.63,89.1,320.72999999999996,26.71,26.66,1
110006,0.72061765,236.84,359.62,42.60000000000001,73.81,70.385971393425,26.89,42.87,180.76000000000002,25.740000000000002,24.8516902899989,26.800000000000004,86.5790267006903,59.2071242925562,16588.0,78.3254263363941,5.61866803682466,90.03,7.940287794208219,0.39,24.54,77.65375,5.27367544686389,77.4286569335202,160.73,60.91998494666159,0.0,59.4260907731751,25.12,25796.243736436,1100064.0,2.15412232337479,61.5673225387598,285.96,22.6,93.32334190092521,0.276956055734191,91.16372763016372,61.9830874411206,61.48125,270.82,346.75,51.4224627063637,22.59,52.46,94.5637111111111,25.69,79.14,323.27000000000004,25.9,25.779999999999998,1
110007,0.34174013,240.96,266.89,42.74,71.45,65.974866341157,27.14,44.29,176.87,25.94,0.0,27.14,47.359833851054695,54.7777700840902,8001.0,17.4751717088764,0.361050478401396,41.26,28.4372289764431,0.73,24.71,25.3275,17.0053576611361,75.3147349297134,165.31,39.0052871323761,39.898922729086294,28.7892790084774,25.44,49946.7709536308,1100072.0,2.0703933747412,51.4106796117252,279.08,22.86,94.8031496062992,0.302867857142857,93.6729229662489,70.1467050664715,32.975,274.38,356.28,58.1157964580237,22.800000000000004,62.64,83.6532208333333,26.21,39.26,321.64,26.34,26.25,1
110008,0.427484,251.54,190.01000000000002,86.41,70.04,61.2821856239575,26.759999999999998,54.33,166.53,25.34,0.533191149026926,27.0,59.2820321069507,53.6247359193834,13522.0,15.571444287861599,0.868781560046204,44.55,18.8150432423849,11.82,24.21,18.33875,62.4679878741393,72.3791255321259,184.34999999999997,49.6180706870714,129.880414983765,25.5744449425922,25.33,23589.905213725804,1100080.0,2.45018450184502,53.230691455535,280.73,22.63,86.7017974774735,0.319768382352942,91.0790736902899,93.2850076322364,74.77375,289.21,356.35,44.089758280293,22.61,52.41,98.2500565217391,26.490000000000002,51.38,308.36,26.52,26.34,1
110009,0.6281178,259.53,296.94,36.98,74.15,65.5088140384846,27.38,42.14,183.44,26.38,7.96381892151461,27.18,71.4324243912479,55.7078295476094,32717.0,37.8154300126562,1.768576830647,61.59,15.4072434045499,13.16,25.300000000000004,46.10000000000001,5.19328850912451,75.9807793867525,192.7,54.2851778236422,76.1542122798667,42.2216642042709,25.65,23811.0670691078,1100098.0,2.52233981874644,57.9573412665832,287.91,23.5,86.0882625139553,0.306149393820884,84.84102119532642,62.3271616972427,23.59125,304.74,384.12,39.3459279985888,23.490000000000002,52.89999999999999,84.43961290322578,26.0,69.76,330.47,26.13,26.029999999999998,1
110010,0.61932975,248.52,197.96,109.92,74.39,65.3134754922484,26.69,55.559999999999995,168.11,25.33,0.255689082076196,26.89,75.9722517244357,53.9500045511877,43553.0,33.2059647062446,1.08931378630537,75.95,20.559582690978598,15.360000000000001,24.300000000000004,41.91125,74.1538280635062,65.1253094815164,196.26000000000002,63.3074953515814,165.536852260898,44.1504348510748,25.32,24381.2023672307,1100106.0,2.46394524566121,56.1833259420548,290.8,22.81,66.6845990047861,0.317450572155118,87.651608793501,85.1067487705841,57.04875,298.91,353.69,5.29510941959381,22.84,59.96,92.8286972222223,26.37,83.86,292.94,26.38,26.16,1
