code_muni,name_muni,code_state,abbrev_state,name_state,code_region,name_region,cod6,mean_risk,lisa_I,lisa_p,lisa_cluster
1100015,Alta Floresta D'oeste,11,RO,Rondônia,1,Norte,110001,0.53853554,-1.827607359750529e-4,0.9988795464876348,Not significant
1100023,Ariquemes,11,RO,Rondônia,1,Norte,110002,0.7516546,0.050480606741951824,0.9170919256874268,Not significant
1100031,Cabixi,11,RO,Rondônia,1,Norte,110003,0.4890109,0.0012284118465204332,0.9594666552225611,Not significant
1100049,Cacoal,11,RO,Rondônia,1,Norte,110004,0.803781,0.8926212428336696,0.16147500283840413,Not significant
1100056,Cerejeiras,11,RO,Rondônia,1,Norte,110005,0.68383986,0.04535126478913887,0.9593382962850265,Not significant
1100064,Colorado do Oeste,11,RO,Rondônia,1,Norte,110006,0.72061765,0.418209946658272,0.5752846732491665,Not significant
1100072,Corumbiara,11,RO,Rondônia,1,Norte,110007,0.34174013,-0.26018065049586186,0.47593462275376214,Not significant
1100080,Costa Marques,11,RO,Rondônia,1,Norte,110008,0.427484,-0.07804751082645488,0.588706379948969,Not significant
1100098,Espigão D'oeste,11,RO,Rondônia,1,Norte,110009,0.6281178,0.94756823683658,0.010806614484459711,High-High
1100106,Guajará-Mirim,11,RO,Rondônia,1,Norte,110010,0.61932975,0.04627171788899121,0.8782027508766272,Not significant
1100114,Jaru,11,RO,Rondônia,1,Norte,110011,0.6779072,-0.057755710793327066,0.8940987186661634,Not significant
1100122,Ji-Paraná,11,RO,Rondônia,1,Norte,110012,0.8193688,0.6734209756077255,0.2697096702928191,Not significant
1100130,Machadinho D'oeste,11,RO,Rondônia,1,Norte,110013,0.50430226,0.032717623431856156,0.34813259103049765,Not significant
1100148,Nova Brasilândia D'oeste,11,RO,Rondônia,1,Norte,110014,0.48269066,-4.366746014979734e-4,0.8268334930508954,Not significant
1100155,Ouro Preto do Oeste,11,RO,Rondônia,1,Norte,110015,0.7086091,0.29354989986916624,0.5578503342510627,Not significant
1100189,Pimenta Bueno,11,RO,Rondônia,1,Norte,110018,0.8343736,1.0477753458896408,0.10026440040715694,Not significant
1100205,Porto Velho,11,RO,Rondônia,1,Norte,110020,0.68927205,-0.015681419814206492,0.9594326029429763,Not significant
1100254,Presidente Médici,11,RO,Rondônia,1,Norte,110025,0.6161854,0.2680953527302653,0.3639439879483735,Not significant
1100262,Rio Crespo,11,RO,Rondônia,1,Norte,110026,0.45159763000000003,-0.07232986467826324,0.47302624241746494,Not significant
1100288,Rolim de Moura,11,RO,Rondônia,1,Norte,110028,0.7348318,0.4127043593412258,0.5228418280225595,Not significant
1100296,Santa Luzia D'oeste,11,RO,Rondônia,1,Norte,110029,0.59565055,-0.012303303062208441,0.9660822162124432,Not significant
1100304,Vilhena,11,RO,Rondônia,1,Norte,110030,0.8031473,1.3287582125787476,0.02216172622873228,High-High
1100320,São Miguel do Guaporé,11,RO,Rondônia,1,Norte,110032,0.5755304,0.0542648968739223,0.745380212558273,Not significant
1100338,Nova Mamoré,11,RO,Rondônia,1,Norte,110033,0.4483006,-0.06369354646590708,0.417793504077571,Not significant
1100346,Alvorada D'oeste,11,RO,Rondônia,1,Norte,110034,0.50598776,0.033341652990483604,0.45498396602989893,Not significant
1100379,Alto Alegre dos Parecis,11,RO,Rondônia,1,Norte,110037,0.50696445,0.038763179192262326,0.5987030687984514,Not significant
1100403,Alto Paraíso,11,RO,Rondônia,1,Norte,110040,0.5217825,0.11466299288103719,0.17775922858680157,Not significant
1100452,Buritis,11,RO,Rondônia,1,Norte,110045,0.55203605,0.037408268685466345,0.7837441664438777,Not significant
1100502,Novo Horizonte do Oeste,11,RO,Rondônia,1,Norte,110050,0.45410866,-0.04586428748600281,0.5453247008242221,Not significant
1100601,Cacaulândia,11,RO,Rondônia,1,Norte,110060,0.5825778,0.45443385218711263,0.14509545529750156,Not significant
1100700,Campo Novo de Rondônia,11,RO,Rondônia,1,Norte,110070,0.43733406,0.010311461411706146,0.9202218669710521,Not significant
1100809,Candeias do Jamari,11,RO,Rondônia,1,Norte,110080,0.5257319,0.11223146847811423,0.3979996734334601,Not significant
1100908,Castanheiras,11,RO,Rondônia,1,Norte,110090,0.41246393,-0.13643124898409903,0.45591291868034783,Not significant
1100924,Chupinguaia,11,RO,Rondônia,1,Norte,110092,0.51227784,0.07563788031729589,0.2366097359755837,Not significant
1100940,Cujubim,11,RO,Rondônia,1,Norte,110094,0.4432634,-0.051433356305981046,0.5669611064062644,Not significant
1101005,Governador Jorge Teixeira,11,RO,Rondônia,1,Norte,110100,0.430239,-0.08474701201295841,0.536930826277846,Not significant
1101104,Itapuã do Oeste,11,RO,Rondônia,1,Norte,110110,0.54612625,0.016564658119508194,0.9179226940367691,Not significant
1101203,Ministro Andreazza,11,RO,Rondônia,1,Norte,110120,0.5101284,0.11931519893012223,0.1536562832405089,Not significant
1101302,Mirante da Serra,11,RO,Rondônia,1,Norte,110130,0.61215997,-0.007842325795606744,0.9812263063268927,Not significant
1101401,Monte Negro,11,RO,Rondônia,1,Norte,110140,0.45886096,-0.04750290298273583,0.45518670737967926,Not significant
1101435,Nova União,11,RO,Rondônia,1,Norte,110143,0.42939693,-0.1902357359380044,0.2652420666361301,Not significant
1101450,Parecis,11,RO,Rondônia,1,Norte,110145,0.48615876,0.00602600923251281,0.23959359664851762,Not significant
1101468,Pimenteiras do Oeste,11,RO,Rondônia,1,Norte,110146,0.49499217,0.003759553097024648,0.8823491417032117,Not significant
1101476,Primavera de Rondônia,11,RO,Rondônia,1,Norte,110147,0.57060236,0.17901322042990236,0.4237950750711508,Not significant
1101484,São Felipe D'oeste,11,RO,Rondônia,1,Norte,110148,0.4410495,-0.12678597581905218,0.2466205356458107,Not significant
1101492,São Francisco do Guaporé,11,RO,Rondônia,1,Norte,110149,0.4899131,0.0049903082469944845,0.7232524395620855,Not significant
1101500,Seringueiras,11,RO,Rondônia,1,Norte,110150,0.55170083,0.06015559865725936,0.6916823792585073,Not significant
1101559,Teixeirópolis,11,RO,Rondônia,1,Norte,110155,0.5260229,0.10431506077378036,0.4352738427647582,Not significant
1101609,Theobroma,11,RO,Rondônia,1,Norte,110160,0.43930194,-0.1767297840522509,0.0732246431523786,Not significant
1101708,Urupá,11,RO,Rondônia,1,Norte,110170,0.50616,0.03653104906366422,0.4675179126081399,Not significant
1101757,Vale do Anari,11,RO,Rondônia,1,Norte,110175,0.48934492,0.012235664530318083,0.34013167616480133,Not significant
1101807,Vale do Paraíso,11,RO,Rondônia,1,Norte,110180,0.4223541,-0.25492935065745986,0.18641998429446824,Not significant
1200013,Acrelândia,12,AC,Acre,1,Norte,120001,0.47554225,-0.0020371782081978766,0.9359497522689756,Not significant
1200054,Assis Brasil,12,AC,Acre,1,Norte,120005,0.40176505,0.007150597429614341,0.9777980628816553,Not significant
1200104,Brasiléia,12,AC,Acre,1,Norte,120010,0.5230826,0.029290391416275628,0.7096572432553861,Not significant
1200138,Bujari,12,AC,Acre,1,Norte,120013,0.46644342,-0.021008758013094802,0.6338178194965194,Not significant
1200179,Capixaba,12,AC,Acre,1,Norte,120017,0.42287773,-0.17117135055513732,0.37090784747603006,Not significant
1200203,Cruzeiro do Sul,12,AC,Acre,1,Norte,120020,0.4653032,0.051715728031593494,0.15566560439111865,Not significant
1200252,Epitaciolândia,12,AC,Acre,1,Norte,120025,0.5164556,0.01053955484389786,0.9189122892696555,Not significant
1200302,Feijó,12,AC,Acre,1,Norte,120030,0.3689206,0.32696114871754267,0.15228963264260437,Not significant
1200328,Jordão,12,AC,Acre,1,Norte,120032,0.2783323,0.45349781446910686,0.4829917161781644,Not significant
1200336,Mâncio Lima,12,AC,Acre,1,Norte,120033,0.38574818,0.14435702067428055,0.6395075473117717,Not significant
1200344,Manoel Urbano,12,AC,Acre,1,Norte,120034,0.3662652,0.3040800254749416,0.31358552530926087,Not significant
1200351,Marechal Thaumaturgo,12,AC,Acre,1,Norte,120035,0.28555784,0.692788427461841,0.26674086073732844,Not significant
1200385,Plácido de Castro,12,AC,Acre,1,Norte,120038,0.4878814,5.614636357958891e-4,0.9669003042454845,Not significant
1200393,Porto Walter,12,AC,Acre,1,Norte,120039,0.23908971,0.5246254717790532,0.40397166719429767,Not significant
1200401,Rio Branco,12,AC,Acre,1,Norte,120040,0.7747798,-0.10769636775327686,0.8265688989149502,Not significant
1200427,Rodrigues Alves,12,AC,Acre,1,Norte,120042,0.35325608,0.15025502894048,0.7143288801355172,Not significant
1200435,Santa Rosa do Purus,12,AC,Acre,1,Norte,120043,0.2549593,0.5265758146512447,0.4645967332149215,Not significant
1200450,Senador Guiomard,12,AC,Acre,1,Norte,120045,0.5047993,0.024187674435838684,0.6087169467390809,Not significant
1200500,Sena Madureira,12,AC,Acre,1,Norte,120050,0.43528834,-0.021942983133435734,0.8196796429752679,Not significant
1200609,Tarauacá,12,AC,Acre,1,Norte,120060,0.37570933,0.33447141708495,0.11959154643382815,Not significant
1200708,Xapuri,12,AC,Acre,1,Norte,120070,0.4763884,-0.010821686106772189,0.4997622903028291,Not significant
1200807,Porto Acre,12,AC,Acre,1,Norte,120080,0.42584446,-0.06590729144434933,0.6084420995065789,Not significant
1300029,Alvarães,13,AM,Amazonas,1,Norte,130002,0.3655396,0.21553038959332332,0.5621818176088429,Not significant
1300060,Amaturá,13,AM,Amazonas,1,Norte,130006,0.2940447,0.4153718067702365,0.3940982455192877,Not significant
1300086,Anamã,13,AM,Amazonas,1,Norte,130008,0.33190435,0.11348973766079669,0.7709926223223467,Not significant
1300102,Anori,13,AM,Amazonas,1,Norte,130010,0.431063,0.042041962643704106,0.6877790230763362,Not significant
1300144,Apuí,13,AM,Amazonas,1,Norte,130014,0.39468876,0.006557937995963816,0.973467275509717,Not significant
1300201,Atalaia do Norte,13,AM,Amazonas,1,Norte,130020,0.28882784,0.3927143955785082,0.43293914622954255,Not significant
1300300,Autazes,13,AM,Amazonas,1,Norte,130030,0.35795635,0.275573216610001,0.27077388510947303,Not significant
1300409,Barcelos,13,AM,Amazonas,1,Norte,130040,0.44712967,0.0822876838903831,0.2145084409921336,Not significant
1300508,Barreirinha,13,AM,Amazonas,1,Norte,130050,0.3477057,0.2562749273429644,0.3970484792193577,Not significant
1300607,Benjamin Constant,13,AM,Amazonas,1,Norte,130060,0.44287792,0.09069320734940778,0.26342533403882246,Not significant
1300631,Beruri,13,AM,Amazonas,1,Norte,130063,0.4214001,0.0708899702540738,0.530665873749083,Not significant
1300680,Boa Vista do Ramos,13,AM,Amazonas,1,Norte,130068,0.30379742,0.32835750053035484,0.41209947634771066,Not significant
