cod6,mun,yr,prob,risk
110001,110001,2013,0.73795533,0
110002,110002,2013,0.8233349,1
110003,110003,2013,0.5872085,0
110004,110004,2013,0.90024006,1
110005,110005,2013,0.77301,0
110006,110006,2013,0.80750954,1
110007,110007,2013,0.4563878,0
110008,110008,2013,0.671283,1
110009,110009,2013,0.733047,0
110010,110010,2013,0.8167422,0
110011,110011,2013,0.7819954,0
110012,110012,2013,0.92969775,1
110013,110013,2013,0.6788486,1
110014,110014,2013,0.6250424,0
110015,110015,2013,0.7857399,1
110018,110018,2013,0.8691516,0
110020,110020,2013,0.8586981,1
110025,110025,2013,0.7417837,0
110026,110026,2013,0.5426179,0
110028,110028,2013,0.8116597,1
110029,110029,2013,0.72188234,0
110030,110030,2013,0.8388468,0
110032,110032,2013,0.7252399,0
110033,110033,2013,0.7151704,0
110034,110034,2013,0.62865335,0
110037,110037,2013,0.5789243,0
110040,110040,2013,0.63326,0
110045,110045,2013,0.6002779,1
110050,110050,2013,0.53663456,0
110060,110060,2013,0.7363796,0
110070,110070,2013,0.5137862,0
110080,110080,2013,0.74312603,0
110090,110090,2013,0.6698953,0
110092,110092,2013,0.62004334,0
110094,110094,2013,0.65480876,0
110100,110100,2013,0.5879176,0
110110,110110,2013,0.70233154,0
110120,110120,2013,0.64454,0
110130,110130,2013,0.8118314,0
110140,110140,2013,0.62423885,0
110143,110143,2013,0.6157949,0
110145,110145,2013,0.6267456,0
110146,110146,2013,0.8081317,0
110147,110147,2013,0.5803309,0
110148,110148,2013,0.6269108,0
110149,110149,2013,0.668323,0
110150,110150,2013,0.7606161,0
110155,110155,2013,0.66180474,0
110160,110160,2013,0.6984048,0
110170,110170,2013,0.6317986,0
110175,110175,2013,0.65748596,0
110180,110180,2013,0.5827427,0
120001,120001,2013,0.6743593,0
120005,120005,2013,0.5672666,0
120010,120010,2013,0.6928538,0
120013,120013,2013,0.70099974,0
120017,120017,2013,0.635304,0
120020,120020,2013,0.65214694,0
120025,120025,2013,0.7262522,0
120030,120030,2013,0.5995922,0
120032,120032,2013,0.3406968,0
120033,120033,2013,0.46687743,0
120034,120034,2013,0.6144799,0
120035,120035,2013,0.40675083,0
120038,120038,2013,0.60446626,0
120039,120039,2013,0.27372968,0
120040,120040,2013,0.86186725,1
120042,120042,2013,0.48568314,0
120043,120043,2013,0.36602247,0
120045,120045,2013,0.68356526,0
120050,120050,2013,0.5639745,0
120060,120060,2013,0.6342711,0
120070,120070,2013,0.6491424,0
120080,120080,2013,0.6300061,0
130002,130002,2013,0.41371378,0
130006,130006,2013,0.27218705,0
130008,130008,2013,0.4681287,0
130010,130010,2013,0.55284035,0
130014,130014,2013,0.7872324,0
130020,130020,2013,0.42596522,0
130030,130030,2013,0.59274626,0
130040,130040,2013,0.30691332,0
130050,130050,2013,0.47350895,0
130060,130060,2013,0.5692396,0
130063,130063,2013,0.55217445,0
130068,130068,2013,0.48537835,0
130070,130070,2013,0.59718794,0
130080,130080,2013,0.56728715,0
130083,130083,2013,0.5137309,0
130090,130090,2013,0.585495,0
130100,130100,2013,0.5912413,0
130110,130110,2013,0.46303204,0
130115,130115,2013,0.38579798,0
130120,130120,2013,0.5707395,1
130130,130130,2013,0.5133999,0
130140,130140,2013,0.5748569,0
130150,130150,2013,0.43939027,0
130160,130160,2013,0.28264078,0
130165,130165,2013,0.3755963,0
130170,130170,2013,0.80221254,0
130180,130180,2013,0.37992364,0
130185,130185,2013,0.53015673,0
130190,130190,2013,0.52842057,0
130200,130200,2013,0.49589857,0
130210,130210,2013,0.19163403,0
130220,130220,2013,0.45403248,0
130230,130230,2013,0.5897958,0
130240,130240,2013,0.6872251,0
130250,130250,2013,0.64168596,0
130255,130255,2013,0.4795305,0
130260,130260,2013,0.89124674,1
130270,130270,2013,0.54100776,0
130280,130280,2013,0.40580449,0
130290,130290,2013,0.67321324,0
130300,130300,2013,0.4177645,0
130310,130310,2013,0.61059153,0
130320,130320,2013,0.50394034,0
130330,130330,2013,0.66302013,0
130340,130340,2013,0.5418868,0
130350,130350,2013,0.5754621,0
130353,130353,2013,0.35259372,0
130356,130356,2013,0.52851737,0
